,index,0
0,0xb003df4b243f938132e8cadbeb237abc5a889fb4,61
1,0xd524e29e3baf5bb085403ca5665301e94387a7e2,40
2,0x74de5d4fcbf63e00296fd95d33236b9794016631,18
3,0xc697bb6625d9f7adcf0fbf0cbd4dcf50d8716cd3,11
4,0x27182842e098f60e3d576794a5bffb0777e025d3,11
5,0x30741289523c2e4d2a62c7d6722686d14e723851,7
6,0xe93381fb4c4f14bda253907b18fad305d799241a,6
7,0xa35d9662c7ba53d5f0ea0f0c9b5706c57aa7639b,3
8,0x25aa4a183800ecab962d84ccc7ada58d4e126992,2
9,0x5b6e02c09708cfb74f9f893a84fba2d63dc8f986,2
10,0x1111111254fb6c44bac0bed2854e76f90643097d,2
11,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,2
12,0xf2f400c138f9fb900576263af0bc7fcde2b1b8a8,2
13,0x0d0707963952f2fba59dd06f2b425ace40b492fe,1
14,0xcdd6ec239116c84b87916dceef93d92ae0b64c1f,1
15,0x54b30069daed0ee345d1ab15a8f5657a54508717,1
16,0xee009faf00cf54c1b4387829af7a8dc5f0c8c8c5,1
17,0xd726d0c85f66121fe969ab7d6b49dc846a48702a,1
18,0x2eeb5af890f370ae711f99aaec0166728c40cf9d,1
19,0xc36442b4a4522e871399cd717abdd847ab11fe88,1
20,0x940515fd6a5dbdada25a5ddf6130711fec6438d1,1
21,0x220bda5c8994804ac96ebe4df184d25e5c2196d4,1
22,0x8561dd43b856eb8474cccbbed07ecbdcec5ab95d,1
23,0x51972e96e65bb3f5dc07787d0a90342620dd4453,1
24,0xee3893b1c7f9ad58f6b3a44d130bcdd046e1738f,1
